epoch,train_loss,train_acc,val_loss,val_acc
1,1.702644125107796,0.424923391215526,1.7922923564910889,0.1676300578034682
2,1.4418256551988664,0.7579162410623085,1.7996851801872253,0.21965317919075145
3,1.2120704324014726,0.881511746680286,1.7971280415852864,0.18497109826589594
4,0.8475085669948209,0.9724208375893769,1.7927387952804565,0.18497109826589594
5,0.6467136183092671,0.9775280898876404,1.7898985544840496,0.1676300578034682
6,0.5095956258235439,0.9856996935648621,1.7879243691762288,0.18497109826589594
7,0.4983540513823109,0.9856996935648621,1.7862569093704224,0.2023121387283237
8,0.5049402021592663,0.9805924412665986,1.7833913167317708,0.2138728323699422
9,0.4829559181967089,0.9867211440245148,1.7814746697743733,0.23121387283236994
10,0.4667792070296503,0.9867211440245148,1.7771949966748555,0.24855491329479767
11,0.4852912877836535,0.9846782431052093,1.7735127409299214,0.2774566473988439
12,0.4656025488530436,0.9948927477017364,1.7668585975964863,0.3468208092485549
13,0.47188328062334367,0.9887640449438202,1.7622469067573547,0.3815028901734104
14,0.46796683438362613,0.9908069458631257,1.749626060326894,0.41040462427745666
15,0.4731584383595374,0.9877425944841676,1.745187759399414,0.4624277456647399
16,0.45319114961931783,0.9938712972420838,1.7363675435384114,0.5317919075144508
17,0.4643510320494252,0.9887640449438202,1.7260727683703105,0.6011560693641619
18,0.4614027796253081,0.9918283963227783,1.7137251893679302,0.6647398843930635
19,0.45199838761360417,0.9948927477017364,1.6860310832659404,0.7456647398843931
20,0.45161384728647047,0.9948927477017364,1.6612220803896587,0.7745664739884393
21,0.45359121791778073,0.9969356486210419,1.630717655022939,0.8497109826589595
22,0.4545930479803393,0.9938712972420838,1.604942003885905,0.861271676300578
23,0.4564888669598487,0.992849846782431,1.5901575684547424,0.9132947976878613
24,0.44898516708804714,0.9948927477017364,1.559335430463155,0.953757225433526
25,0.44244912074458215,0.9989785495403473,1.5357237060864766,0.9710982658959537
26,0.4552828361911158,0.992849846782431,1.5197877486546834,0.9884393063583815
27,0.44757176022375783,0.9948927477017364,1.4652797778447468,0.9884393063583815
28,0.4604116524419477,0.9918283963227783,1.468719224135081,0.9826589595375722
29,0.45401050583008795,0.9948927477017364,1.4074227213859558,0.9826589595375722
30,0.46341718396832865,0.9908069458631257,1.3500324686368306,0.9942196531791907
