filename,label
scratches_scratches_228.jpg,scratches
scratches_scratches_226.jpg,scratches
pitted_surface_pitted_surface_84.jpg,pitted_surface
inclusion_inclusion_131.jpg,inclusion
pitted_surface_pitted_surface_95.jpg,pitted_surface
rolled-in_scale_rolled-in_scale_22.jpg,rolled-in_scale
inclusion_inclusion_111.jpg,inclusion
rolled-in_scale_rolled-in_scale_228.jpg,rolled-in_scale
scratches_scratches_39.jpg,scratches
pitted_surface_pitted_surface_78.jpg,pitted_surface
patches_patches_188.jpg,patches
inclusion_inclusion_84.jpg,inclusion
pitted_surface_pitted_surface_124.jpg,pitted_surface
rolled-in_scale_rolled-in_scale_46.jpg,rolled-in_scale
inclusion_inclusion_184.jpg,inclusion
patches_patches_182.jpg,patches
patches_patches_135.jpg,patches
inclusion_inclusion_147.jpg,inclusion
crazing_crazing_48.jpg,crazing
patches_patches_5.jpg,patches
scratches_scratches_240.jpg,scratches
inclusion_inclusion_113.jpg,inclusion
pitted_surface_pitted_surface_136.jpg,pitted_surface
scratches_scratches_114.jpg,scratches
pitted_surface_pitted_surface_23.jpg,pitted_surface
patches_patches_17.jpg,patches
rolled-in_scale_rolled-in_scale_195.jpg,rolled-in_scale
pitted_surface_pitted_surface_111.jpg,pitted_surface
crazing_crazing_104.jpg,crazing
scratches_scratches_165.jpg,scratches
patches_patches_167.jpg,patches
pitted_surface_pitted_surface_19.jpg,pitted_surface
pitted_surface_pitted_surface_145.jpg,pitted_surface
scratches_scratches_105.jpg,scratches
inclusion_inclusion_219.jpg,inclusion
scratches_scratches_29.jpg,scratches
scratches_scratches_147.jpg,scratches
pitted_surface_pitted_surface_220.jpg,pitted_surface
scratches_scratches_210.jpg,scratches
patches_patches_8.jpg,patches
crazing_crazing_82.jpg,crazing
patches_patches_112.jpg,patches
pitted_surface_pitted_surface_110.jpg,pitted_surface
inclusion_inclusion_187.jpg,inclusion
crazing_crazing_132.jpg,crazing
patches_patches_117.jpg,patches
inclusion_inclusion_211.jpg,inclusion
crazing_crazing_226.jpg,crazing
patches_patches_74.jpg,patches
scratches_scratches_55.jpg,scratches
patches_patches_236.jpg,patches
crazing_crazing_125.jpg,crazing
crazing_crazing_40.jpg,crazing
scratches_scratches_176.jpg,scratches
patches_patches_116.jpg,patches
scratches_scratches_4.jpg,scratches
pitted_surface_pitted_surface_79.jpg,pitted_surface
